title,release_year,genres,production_countries,region_tags,budget,revenue,vote_average,vote_count,original_language
Return to the Batcave: The Misadventures of Adam and Burt,2003,"['Comedy', 'Action', 'Documentary']",['United States of America'],['North America'],0,0,5.8,14,en
Bandits,2001,"['Action', 'Comedy', 'Crime', 'Romance']",['United States of America'],['North America'],75000000,67631903,6.2,307,en
Killshot,2008,"['Crime', 'Drama', 'Thriller']",['United States of America'],['North America'],0,2960993,5.9,80,en
Death of a Superhero,2011,"['Animation', 'Drama']",['Germany'],['Western Europe'],3,0,6.9,44,en
Ladies in Lavender,2004,"['Drama', 'Romance']",['United Kingdom'],['Western Europe'],0,20377075,6.5,36,en
Melinda and Melinda,2004,"['Comedy', 'Drama', 'Romance']",['United States of America'],['North America'],0,20085825,6.3,128,en
To Write Love on Her Arms,2015,"['Drama', 'Music']",['United States of America'],['North America'],3400000,0,6.8,48,en
Empire of Corpses,2015,"['Animation', 'Mystery', 'Horror', 'Science Fiction']",['Japan'],['East Asia'],0,0,5.7,11,ja
Crush and Blush,2008,"['Comedy', 'Foreign']",['South Korea'],['East Asia'],0,0,5.7,7,en
Cyborg She,2008,"['Action', 'Comedy', 'Science Fiction']",['Japan'],['East Asia'],8500000,0,6.6,32,ja
Thou Shalt Laugh 2 - The Deuce,2007,['Comedy'],['United States of America'],['North America'],0,0,0.0,0,en
Raising Cain,1992,"['Drama', 'Horror', 'Thriller', 'Crime']",['United States of America'],['North America'],12000000,37170057,5.9,66,en
The Book of Fate,2003,"['Action', 'Horror', 'Science Fiction']",['Finland'],['Northern Europe'],0,0,3.5,2,fi
Big Daddy,1999,"['Comedy', 'Drama']",['United States of America'],['North America'],34200000,234801895,6.2,898,en
Palmipedarium,2012,"['Animation', 'Drama']",['France'],['Western Europe'],0,0,7.6,4,fr
Beethoven,1992,"['Comedy', 'Family']",['United States of America'],['North America'],0,147214049,5.6,425,en
Merlin and the War of the Dragons,2008,['Fantasy'],['United States of America'],['North America'],0,0,3.1,8,en
Honeymoon,2014,['Horror'],['United States of America'],['North America'],1000000,9318,5.4,261,en
The Warrior,2001,"['Adventure', 'Animation', 'Drama', 'Action', 'Foreign']","['France', 'Germany', 'India', 'United Kingdom']","['South Asia', 'Western Europe']",0,0,6.3,15,en
Free State of Jones,2016,"['War', 'Action', 'Drama', 'History', 'Thriller']",['United States of America'],['North America'],50000000,25035950,6.6,439,en
Undisputed,2002,"['Action', 'Adventure', 'Drama', 'Thriller']",['United States of America'],['North America'],20000000,12398628,6.1,141,en
The Avengers,2012,"['Science Fiction', 'Action', 'Adventure']",['United States of America'],['North America'],220000000,1519557910,7.4,12000,en
Aladin,2009,"['Fantasy', 'Drama', 'Romance', 'Foreign']",['India'],['South Asia'],0,0,5.9,9,hi
Who's the Man?,1993,"['Drama', 'Action', 'Comedy']",['United States of America'],['North America'],0,0,5.0,9,en
The Man Who Will Come,2009,['Drama'],['Italy'],['Western Europe'],0,0,6.8,13,it
First Kill,2017,"['Action', 'Thriller']",['United States of America'],['North America'],0,0,5.2,38,en
Roger Waters: The Wall,2014,['Music'],['United Kingdom'],['Western Europe'],0,0,7.7,45,en
Finders Keepers,2015,['Documentary'],['United States of America'],['North America'],0,0,6.4,24,en
The Apocalypse Code,2007,"['Action', 'Adventure']",['Russia'],['Eastern Europe'],0,0,5.7,8,ru
The End of Old Times,1990,['Comedy'],['Czech Republic'],['Eastern Europe'],0,0,7.0,1,cs
Soul Surfer,2011,"['Family', 'Action', 'Drama']",['United States of America'],['North America'],18000000,47088990,6.9,355,en
The Lady Vanishes,2013,"['Thriller', 'Drama']",['United Kingdom'],['Western Europe'],0,0,6.3,8,en
Carrington,1995,"['History', 'Drama', 'Romance']","['France', 'United Kingdom']",['Western Europe'],0,0,6.4,16,en
Don't Tell Her It's Me,1990,"['Comedy', 'Romance']",['United States of America'],['North America'],0,0,5.8,13,en
Men of War,1994,"['Action', 'Thriller']","['United States of America', 'Spain']","['North America', 'Western Europe']",0,0,5.5,30,en
Skeleton Man,2004,"['Horror', 'Action', 'Thriller']",['United States of America'],['North America'],0,0,2.9,7,en
Wrong Turn at Tahoe,2009,"['Action', 'Crime', 'Drama', 'Thriller']",['United States of America'],['North America'],0,0,6.3,24,en
Spectre,2015,"['Action', 'Adventure', 'Crime']","['United Kingdom', 'United States of America']","['North America', 'Western Europe']",245000000,880674609,6.3,4552,en
Cowboy Bebop: The Movie,2001,"['Action', 'Animation', 'Science Fiction']","['Japan', 'United States of America']","['North America', 'East Asia']",0,0,7.3,174,ja
Circo,2011,"['Documentary', 'Foreign']","['Mexico', 'United States of America']","['North America', 'Latin America']",0,67821,7.5,2,en
Good Boy!,2003,"['Comedy', 'Family', 'Science Fiction']",['United States of America'],['North America'],17000000,0,4.6,31,en
Burnt by the Sun,1994,['Drama'],"['France', 'Russia']","['Eastern Europe', 'Western Europe']",2800000,2616503,6.7,35,ru
Big Fan,2009,"['Comedy', 'Drama']",['United States of America'],['North America'],250000,232732,6.1,45,en
That's Cunning! Shijo Saidai no Sakusen?,1996,['Comedy'],['Japan'],['East Asia'],0,0,5.5,4,ja
Rabid Dogs,2015,"['Action', 'Drama', 'Thriller']","['Canada', 'France']","['North America', 'Western Europe']",0,0,5.6,32,fr
Elysium,2013,"['Science Fiction', 'Action', 'Drama', 'Thriller']",['United States of America'],['North America'],115000000,286140700,6.4,3510,en
Yella,2007,"['Drama', 'Romance']",['Germany'],['Western Europe'],3000000,0,6.0,16,de
The Waiting Room,2004,['Drama'],['Turkey'],['Middle East'],0,0,6.8,3,tr
Bound & Babysitting,2015,"['Family', 'TV Movie']",['United States of America'],['North America'],1600000,0,6.0,5,en
10 Items or Less,2006,"['Comedy', 'Drama']",['United States of America'],['North America'],0,580527,6.6,50,en
Dinosaur Island,2014,"['Adventure', 'Science Fiction', 'Fantasy', 'Family']",['Australia'],['Oceania'],0,0,4.4,25,en
The Hive,2015,"['Horror', 'Science Fiction', 'Thriller']",['United States of America'],['North America'],0,0,5.3,32,en
Unexpected,2015,"['Comedy', 'Drama']",['United States of America'],['North America'],0,0,5.8,37,en
Once Upon a Time,2008,"['Adventure', 'Action', 'Comedy', 'Foreign']",['South Korea'],['East Asia'],0,0,6.0,11,ko
"Late August, Early September",1998,"['Drama', 'Foreign']",['France'],['Western Europe'],0,0,7.3,4,fr
The End of Violence,1997,"['Drama', 'Thriller']","['France', 'Germany', 'United States of America']","['North America', 'Western Europe']",5000000,0,5.1,17,en
How the Grinch Stole Christmas,2000,"['Family', 'Comedy', 'Fantasy']","['Germany', 'United States of America']","['North America', 'Western Europe']",123000000,345141403,6.2,1440,en
The Philly Kid,2012,"['Drama', 'Action']",['United States of America'],['North America'],5000000,0,4.8,18,en
Batman & Mr. Freeze: SubZero,1998,"['Animation', 'Action', 'Crime']",['United States of America'],['North America'],0,0,6.9,79,en
The Forsaken,2001,"['Action', 'Adventure', 'Horror', 'Thriller']",['United States of America'],['North America'],5000000,0,4.9,47,en
Clown,2014,['Horror'],"['Canada', 'United States of America']",['North America'],0,0,5.3,372,en
Kohtaamisia,2010,['Drama'],['Finland'],['Northern Europe'],0,0,6.2,3,fi
Showdown in Little Tokyo,1991,"['Action', 'Thriller']",['United States of America'],['North America'],8000000,2275557,5.7,99,en
Promises,2001,['Documentary'],"['Israel', 'United States of America']","['North America', 'Middle East']",0,0,7.6,13,en
Frankenhooker,1990,"['Comedy', 'Horror', 'Science Fiction']",['United States of America'],['North America'],2500000,205068,5.7,65,en
Devil Seed,2012,['Horror'],['Canada'],['North America'],0,0,4.6,23,en
Goodbye to Language,2014,['Drama'],"['France', 'Switzerland']",['Western Europe'],0,0,6.6,56,fr
Asu Mare,2013,['Comedy'],['Peru'],['Other'],700000,0,6.0,3,es
Being John Malkovich,1999,"['Fantasy', 'Drama', 'Comedy']",['United States of America'],['North America'],13000000,22863596,7.3,1124,en
Vile,2011,"['Horror', 'Thriller']",['United States of America'],['North America'],0,0,4.8,51,en
Just Another Love Story,2007,"['Thriller', 'Crime', 'Drama']",['Denmark'],['Northern Europe'],0,0,6.4,18,da
Long Live Freedom,2013,['Drama'],['Italy'],['Western Europe'],5000000,48125,7.2,42,it
7 Boxes,2012,"['Action', 'Thriller']",['Paraguay'],['Other'],0,0,6.5,35,es
Payback: Straight Up,2006,"['Action', 'Crime', 'Drama']",['United States of America'],['North America'],90000000,0,6.8,25,en
Horton Hears a Who!,2008,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']",['United States of America'],['North America'],85000000,297138014,6.3,927,en
The Swap,2016,"['Comedy', 'TV Movie']",['United States of America'],['North America'],0,0,7.0,30,en
Living 'til the End,2005,"['Drama', 'Romance']",['United States of America'],['North America'],0,0,7.0,1,en
Amateurs in Space,2016,['Documentary'],['Denmark'],['Northern Europe'],0,0,0.0,0,da
The Infidel,2009,"['Comedy', 'Drama']",['United Kingdom'],['Western Europe'],0,0,6.0,45,en
Welcome,2009,"['Drama', 'Romance']","['France', 'United Kingdom']",['Western Europe'],0,0,7.1,62,fr
Tell,2014,"['Drama', 'Action', 'Crime']",['United States of America'],['North America'],0,0,5.4,21,en
Mars Needs Moms,2011,"['Adventure', 'Animation', 'Family']",['United States of America'],['North America'],150000000,38992758,5.6,202,en
Heaven Adores You,2014,['Documentary'],['United States of America'],['North America'],0,0,6.8,12,en
Secretary,2002,"['Comedy', 'Drama', 'Romance']",['United States of America'],['North America'],4000000,9304609,6.8,378,en
Cash Only,2015,"['Thriller', 'Crime', 'Drama']","['Albania', 'United States of America']","['North America', 'Other']",0,0,5.6,8,en
Under the Sea 3D,2009,['Documentary'],"['Canada', 'United States of America']",['North America'],0,0,6.8,21,en
For a Woman,2013,['Drama'],['France'],['Western Europe'],0,0,6.0,11,fr
Iceman,2014,"['Adventure', 'History', 'Action', 'Science Fiction', 'Comedy', 'Fantasy']","['China', 'Hong Kong']",['East Asia'],0,0,4.7,61,cn
Hubble 3D,2010,['Documentary'],['Canada'],['North America'],0,0,6.7,41,en
The Proposition,2005,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller', 'Western']","['Australia', 'United Kingdom']","['Western Europe', 'Oceania']",2000000,5048693,7.1,221,en
Gabo: The Creation of Gabriel Garcia Marquez,2015,"['History', 'Documentary']",['Spain'],['Western Europe'],0,19337,7.0,1,es
Blue Crush,2002,['Adventure'],"['Germany', 'United States of America']","['North America', 'Western Europe']",25000000,51842679,5.6,164,en
Robots,2005,"['Animation', 'Comedy', 'Family', 'Science Fiction']",['United States of America'],['North America'],75000000,260696994,6.0,1383,en
Cop Land,1997,"['Action', 'Crime', 'Drama']",['United States of America'],['North America'],15000000,44862187,6.6,384,en
Suddenly,2006,['Drama'],['Sweden'],['Northern Europe'],0,0,4.8,5,sv
Departure,2016,"['Drama', 'Romance', 'Family']","['France', 'United Kingdom']",['Western Europe'],0,0,7.2,14,en
The Assassin Next Door,2009,"['Action', 'Drama', 'Thriller']","['France', 'United States of America', 'Israel']","['North America', 'Western Europe', 'Middle East']",3000000,0,5.4,19,ru
Behind the Candelabra,2013,"['Drama', 'Romance']",['United States of America'],['North America'],23000000,15600000,6.6,307,en
Crime After Crime,2011,"['Documentary', 'Crime']",['United States of America'],['North America'],0,58840,5.3,3,en
Styx,2001,"['Action', 'Crime', 'Thriller']",['South Africa'],['Africa'],0,0,3.7,3,en
Barely Legal,2003,['Comedy'],"['Germany', 'United States of America']","['North America', 'Western Europe']",0,0,5.2,50,en
Dégradé,2015,"['Comedy', 'Drama']","['Lebanon', 'France', 'Palestinian Territory']","['Other', 'Western Europe']",0,0,7.7,3,ar
Code Rush,2000,['Documentary'],['United States of America'],['North America'],0,0,5.8,2,en
"Red Firecracker, Green Firecracker",1994,['Drama'],"['China', 'Hong Kong']",['East Asia'],0,0,7.0,2,zh
Zombie Ninjas vs Black Ops,2015,"['Action', 'Horror']",['Australia'],['Oceania'],0,0,0.0,0,en
Ghoul,2015,"['Thriller', 'Horror']","['Ukraine', 'Czech Republic']",['Eastern Europe'],0,0,5.1,25,en
Hell or High Water,2016,"['Crime', 'Drama', 'Thriller', 'Western']",['United States of America'],['North America'],12000000,37589296,7.2,1304,en
Risto Räppääjä ja Sevillan saituri,2015,['Family'],['Finland'],['Northern Europe'],0,0,0.0,0,fi
Outsider,1997,['Drama'],['Slovenia'],['Other'],0,0,5.0,1,sl
Strawberries in the Supermarket,2003,"['Comedy', 'Foreign', 'Action', 'Adventure']","['Serbia', 'Germany', 'Italy', 'Macedonia']","['Other', 'Western Europe']",0,0,6.5,10,sr
Best in Show,2000,['Comedy'],['United States of America'],['North America'],0,0,6.7,168,en
Planet B-Boy,2008,['Documentary'],"['France', 'United States of America']","['North America', 'Western Europe']",0,0,6.4,4,en
The Hound of the Baskervilles,2002,"['Thriller', 'TV Movie', 'Drama', 'Mystery']",['United Kingdom'],['Western Europe'],0,0,5.4,12,en
American Sniper,2014,"['War', 'Action']",['United States of America'],['North America'],58800000,542307423,7.4,4600,en
Superman/Shazam!: The Return of Black Adam,2010,"['Animation', 'Action']",['United States of America'],['North America'],0,0,7.1,77,en
A Good Old Fashioned Orgy,2011,['Comedy'],['United States of America'],['North America'],0,0,5.9,94,en
Cows,1992,['Drama'],['Spain'],['Western Europe'],0,0,5.2,13,es
Burn Burn Burn,2016,"['Drama', 'Comedy']",['United Kingdom'],['Western Europe'],0,0,6.5,9,en
Law Abiding Citizen,2009,"['Drama', 'Crime', 'Thriller']",['United States of America'],['North America'],53000000,126690726,7.2,1522,en
The Last Tycoon,2012,"['Drama', 'History']",['China'],['East Asia'],0,0,6.2,15,zh
"Happiness Is a Warm Blanket, Charlie Brown",2011,"['Animation', 'Comedy', 'Family']",['United States of America'],['North America'],0,0,6.5,16,en
Uncovered,1995,['Thriller'],"['Spain', 'United Kingdom', 'France']",['Western Europe'],0,0,5.5,12,en
New York Cop,1993,"['Action', 'Thriller', 'Crime', 'Drama']","['Japan', 'United States of America']","['North America', 'East Asia']",0,0,0.0,0,en
Restless,2012,"['TV Movie', 'Romance', 'Drama']",['United Kingdom'],['Western Europe'],0,0,4.9,8,en
Dave Chappelle: Deep in the Heart of Texas,2017,['Comedy'],['United States of America'],['North America'],0,0,8.0,38,en
Confession of a Child of the Century,2012,['Drama'],"['France', 'Germany', 'United Kingdom']",['Western Europe'],0,0,4.9,6,fr
Venus In Furs,1995,"['Drama', 'Romance']",['Netherlands'],['Western Europe'],0,0,4.3,3,nl
Mifune: The Last Samurai,2016,['Documentary'],['Japan'],['East Asia'],0,0,7.6,5,en
Tokyo Tribe,2014,"['Music', 'Science Fiction', 'Action', 'Drama', 'Crime']",['Japan'],['East Asia'],0,0,6.5,36,ja
Real Playing Game,2013,"['Science Fiction', 'Action', 'Adventure']",['Portugal'],['Other'],704460,0,4.2,12,en
Crying Freeman,1995,"['Action', 'Crime']","['Canada', 'France', 'Japan', 'United States of America']","['North America', 'East Asia', 'Western Europe']",6100000,0,6.3,69,en
PG 16...,2010,"['Romance', 'Comedy', 'Drama']",['Russia'],['Eastern Europe'],0,0,6.7,9,ru
A Colbert Christmas: The Greatest Gift of All!,2008,['Comedy'],['United States of America'],['North America'],0,0,7.0,8,en
Aamir,2008,['Thriller'],['India'],['South Asia'],364000,0,6.7,12,hi
Home Fries,1998,"['Drama', 'Comedy', 'Romance']",['United States of America'],['North America'],15000000,10443316,4.8,32,en
The Recruiter,2008,['Documentary'],['United States of America'],['North America'],0,0,6.0,1,en
The Jungle Book 2,2003,"['Family', 'Animation', 'Adventure']","['Australia', 'United States of America']","['North America', 'Oceania']",20000000,135680000,5.6,278,en
Texas Chainsaw Massacre: The Next Generation,1994,"['Horror', 'Comedy', 'Thriller']",['United States of America'],['North America'],600000,185898,3.9,96,en
Lost in Siberia,2012,['Comedy'],"['Germany', 'Russia']","['Eastern Europe', 'Western Europe']",0,0,7.0,2,de
Night Of The Living Dead 3D,2007,['Horror'],['United States of America'],['North America'],3000000,1449945,4.0,12,en
Blackballed: The Bobby Dukes Story,2004,['Comedy'],['United States of America'],['North America'],0,0,5.5,5,en
Holy Lola,2004,['Drama'],"['France', 'Cambodia']","['Other', 'Western Europe']",0,0,5.1,6,en
Chronicle of a Disappearance,1996,['Drama'],"['Palestinian Territory', 'Israel', 'Germany', 'France', 'United States of America']","['North America', 'Other', 'Western Europe', 'Middle East']",0,0,6.0,2,ar
Lake Dead,2007,"['Horror', 'Thriller']",['United States of America'],['North America'],0,0,4.2,21,en
Hitler's Kaput!,2008,['Comedy'],"['Ukraine', 'Russia']",['Eastern Europe'],3000000,9713500,3.6,7,ru
Voices,2007,"['Horror', 'Thriller']",['South Korea'],['East Asia'],0,0,5.9,17,ko
Seducing Mr. Perfect,2006,['Romance'],['South Korea'],['East Asia'],2800000,0,6.3,19,ko
Queen of Carthage,2015,"['Thriller', 'Drama']",['New Zealand'],['Oceania'],0,0,7.5,2,en
Domésticas,2001,"['Drama', 'Comedy']",['Brazil'],['Latin America'],0,0,6.2,5,pt
Boys on the Side,1995,"['Comedy', 'Drama']","['France', 'United States of America']","['North America', 'Western Europe']",21000000,23450000,6.3,48,en
