title,release_year,genres,production_countries,region_tags,budget,revenue,vote_average,vote_count,original_language
Twelve Monkeys,1995,"['Science Fiction', 'Thriller', 'Mystery']",['United States of America'],['North America'],29500000,168840000,7.4,2470,en
Wings of Courage,1996,"['Romance', 'Adventure']","['France', 'United States of America']","['North America', 'Western Europe']",0,0,6.8,4,fr
Babe,1995,"['Fantasy', 'Drama', 'Comedy', 'Family']","['Australia', 'United States of America']","['North America', 'Oceania']",30000000,254134910,6,756,en
Carrington,1995,"['History', 'Drama', 'Romance']","['France', 'United Kingdom']",['Western Europe'],0,0,6.4,16,en
Dead Man Walking,1995,['Drama'],"['United States of America', 'United Kingdom']","['North America', 'Western Europe']",11000000,39363635,7.3,350,en
Across the Sea of Time,1995,"['Adventure', 'History', 'Drama', 'Family']",['United States of America'],['North America'],0,0,3.5,2,en
It Takes Two,1995,"['Comedy', 'Family', 'Romance']",['United States of America'],['North America'],0,0,6.1,149,en
Clueless,1995,"['Comedy', 'Drama', 'Romance']",['United States of America'],['North America'],12000000,0,6.9,828,en
"Cry, the Beloved Country",1995,['Drama'],['South Africa'],['Africa'],0,676525,6.7,13,en
Richard III,1995,"['Drama', 'War']","['United Kingdom', 'United States of America']","['North America', 'Western Europe']",0,0,6.9,50,en
Dead Presidents,1995,"['Action', 'Crime', 'Drama', 'History']",['United States of America'],['North America'],10000000,0,6.6,80,en
Restoration,1995,"['Drama', 'Romance']",['United States of America'],['North America'],19000000,0,6.3,30,en
Mortal Kombat,1995,"['Action', 'Fantasy']",['United States of America'],['North America'],18000000,122195920,5.4,452,en
To Die For,1995,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",['United States of America'],['North America'],20000000,21284514,6.7,177,en
How To Make An American Quilt,1995,"['Drama', 'Romance']",['United States of America'],['North America'],10000000,23574130,6.5,38,en
Se7en,1995,"['Crime', 'Mystery', 'Thriller']",['United States of America'],['North America'],33000000,327311859,8.1,5915,en
Pocahontas,1995,"['Adventure', 'Animation', 'Drama', 'Family']",['United States of America'],['North America'],55000000,346079773,6.7,1509,en
When Night Is Falling,1995,"['Drama', 'Romance']",['Canada'],['North America'],0,0,5.9,10,en
The Usual Suspects,1995,"['Drama', 'Crime', 'Thriller']",['United States of America'],['North America'],6000000,23341568,8.1,3334,en
Mighty Aphrodite,1995,"['Comedy', 'Romance']",['United States of America'],['North America'],15000000,6700000,6.7,145,en
Lamerica,1994,"['Drama', 'Foreign']","['Italy', 'France', 'Switzerland']",['Western Europe'],0,0,7.7,11,it
The Big Green,1995,"['Action', 'Adventure', 'Comedy', 'Family']",['United States of America'],['North America'],0,0,5.2,41,en
Georgia,1995,['Drama'],"['France', 'United States of America']","['North America', 'Western Europe']",0,0,6.1,15,en
Home for the Holidays,1995,"['Comedy', 'Drama', 'Romance']",['United States of America'],['North America'],0,17519169,6.3,39,en
The Postman,1994,"['Comedy', 'Drama', 'Romance']","['Belgium', 'France', 'Italy']",['Western Europe'],0,0,7.6,181,it
The Confessional,1995,"['Thriller', 'Drama', 'Mystery']",['Canada'],['North America'],0,0,6.5,2,fr
The Indian in the Cupboard,1995,"['Adventure', 'Family', 'Fantasy']",['United States of America'],['North America'],45000000,0,5.9,136,en
Eye for an Eye,1996,"['Drama', 'Thriller']",['United States of America'],['North America'],20000000,0,5.8,65,en
Mr. Holland's Opus,1995,"['Music', 'Drama', 'Family']",['United States of America'],['North America'],0,106269971,6.9,115,en
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,['Comedy'],['United States of America'],['North America'],0,0,6.2,192,en
Two If by Sea,1996,"['Comedy', 'Romance']",['United States of America'],['North America'],0,0,4.5,14,en
Bio-Dome,1996,['Comedy'],['United States of America'],['North America'],15000000,0,4.4,110,en
Lawnmower Man 2: Beyond Cyberspace,1996,"['Action', 'Science Fiction']",['United States of America'],['North America'],0,2409225,2.8,32,en
Two Bits,1995,"['Drama', 'Family']",['United States of America'],['North America'],0,0,5.4,11,en
French Twist,1995,"['Comedy', 'Romance']",['France'],['Western Europe'],0,0,6,43,fr
Friday,1995,['Comedy'],['United States of America'],['North America'],3500000,28215918,7,513,en
From Dusk Till Dawn,1996,"['Horror', 'Action', 'Thriller', 'Crime']",['United States of America'],['North America'],19000000,25836616,6.9,1644,en
Fair Game,1995,"['Action', 'Thriller', 'Romance']",['United States of America'],['North America'],50000000,11534477,4.1,54,en
Kicking and Screaming,1995,"['Comedy', 'Drama', 'Romance']",['United States of America'],['North America'],0,718490,7,36,en
Les Miserables,1995,"['Drama', 'History']",['France'],['Western Europe'],0,0,6.6,8,fr
Bed of Roses,1996,"['Drama', 'Romance']",['United States of America'],['North America'],0,19030691,5.1,27,en
Big Bully,1996,"['Comedy', 'Family']",['United States of America'],['North America'],15000000,2042530,3.9,16,en
Screamers,1995,"['Horror', 'Science Fiction']","['Canada', 'Japan', 'United States of America']","['North America', 'East Asia']",20000000,5781885,6.1,154,en
Nico Icon,1995,['Documentary'],"['Germany', 'United States of America']","['North America', 'Western Europe']",0,0,7.3,3,en
The Crossing Guard,1995,"['Drama', 'Thriller']",['United States of America'],['North America'],0,0,6.1,74,en
The Juror,1996,"['Drama', 'Thriller']",['United States of America'],['North America'],44000000,0,5.5,91,en
The White Balloon,1995,"['Family', 'Drama']",['Iran'],['Middle East'],0,0,7.5,20,fa
Things to Do in Denver When You're Dead,1995,"['Drama', 'Crime']",['United States of America'],['North America'],8000000,529766,6.7,87,en
Antonia's Line,1995,"['Drama', 'Comedy']","['Netherlands', 'United Kingdom', 'Belgium']",['Western Europe'],900000,0,7.2,26,nl
Once Upon a Time... When We Were Colored,1996,"['Romance', 'Drama']",['United States of America'],['North America'],0,0,4.5,2,en
Angels and Insects,1995,"['Drama', 'Romance']","['United Kingdom', 'United States of America']","['North America', 'Western Europe']",0,0,6.3,17,en
White Squall,1996,"['Action', 'Drama']",['United States of America'],['North America'],38000000,10300000,6.3,86,en
Dunston Checks In,1996,"['Adventure', 'Comedy', 'Family']",['United States of America'],['North America'],16000000,0,5.1,59,en
Black Sheep,1996,['Comedy'],['United States of America'],['North America'],0,32,6,124,en
Nick of Time,1995,"['Crime', 'Drama', 'Thriller']",['United States of America'],['North America'],8169363,8175346,6.1,190,en
The Journey of August King,1995,['Drama'],['United States of America'],['North America'],0,0,6.7,3,en
Mary Reilly,1996,"['Drama', 'Horror', 'Thriller', 'Romance']",['United States of America'],['North America'],47000000,12379402,5.7,77,en
Vampire in Brooklyn,1995,"['Comedy', 'Horror', 'Romance']",['United States of America'],['North America'],14000000,19800000,4.5,113,en
Beautiful Girls,1996,"['Comedy', 'Drama', 'Romance']",['United States of America'],['North America'],0,0,6.6,103,en
Broken Arrow,1996,"['Action', 'Adventure', 'Drama', 'Thriller']",['United States of America'],['North America'],50000000,150270147,5.7,459,en
A Midwinter's Tale,1995,['Comedy'],['United Kingdom'],['Western Europe'],0,0,7.5,6,en
La Haine,1995,['Drama'],['France'],['Western Europe'],3000000,0,7.9,695,fr
Shopping,1994,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",['United Kingdom'],['Western Europe'],0,0,5.6,13,en
Heidi Fleiss: Hollywood Madam,1995,['Documentary'],"['United Kingdom', 'Canada', 'United States of America', 'Germany']","['North America', 'Western Europe']",0,0,6.8,4,en
City Hall,1996,"['Drama', 'Thriller']",['United States of America'],['North America'],0,0,6,67,en
Bottle Rocket,1996,"['Comedy', 'Crime', 'Drama']",['United States of America'],['North America'],7000000,560069,6.8,285,en
Mr. Wrong,1996,"['Comedy', 'Romance']",['United States of America'],['North America'],0,0,3.3,16,en
Unforgettable,1996,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",['United States of America'],['North America'],18000000,0,5.3,22,en
Happy Gilmore,1996,['Comedy'],['United States of America'],['North America'],12000000,41205099,6.5,767,en
The Bridges of Madison County,1995,"['Drama', 'Romance']",['United States of America'],['North America'],24000000,182016617,7.3,397,en
Nobody Loves Me,1994,"['Drama', 'Comedy', 'Family']",['Germany'],['Western Europe'],0,0,5.1,5,de
Muppet Treasure Island,1996,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",['United States of America'],['North America'],0,34327391,6.5,93,en
Braveheart,1995,"['Action', 'Drama', 'History', 'War']",['United States of America'],['North America'],72000000,210000000,7.7,3404,en
Rumble in the Bronx,1995,"['Crime', 'Action', 'Comedy', 'Thriller']",['Hong Kong'],['East Asia'],7500000,32392047,6.5,245,cn
Before and After,1996,"['Drama', 'Thriller']",['United States of America'],['North America'],35000000,0,5.8,37,en
Margaret's Museum,1995,['Drama'],"['Canada', 'United Kingdom']","['North America', 'Western Europe']",0,0,7.5,2,en
Happiness Is in the Field,1995,['Comedy'],['France'],['Western Europe'],13365000,0,7,23,en
Anne Frank Remembered,1995,"['Documentary', 'Drama', 'Foreign']","['United Kingdom', 'United States of America', 'Netherlands']","['North America', 'Western Europe']",0,1,7.3,4,en
The Young Poisoner's Handbook,1995,"['Comedy', 'Crime', 'Drama']","['Germany', 'France', 'United Kingdom']",['Western Europe'],0,0,6.9,19,en
If Lucy Fell,1996,"['Comedy', 'Romance']",['United States of America'],['North America'],0,0,5.4,11,en
Steal Big Steal Little,1995,"['Comedy', 'Drama']",['United States of America'],['North America'],25000000,6278139,5.1,7,en
Race the Sun,1996,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",['United States of America'],['North America'],0,0,5.2,21,en
The Boys of St. Vincent,1992,['Drama'],['Canada'],['North America'],0,0,7,7,en
Boomerang,1992,"['Comedy', 'Romance']",['United States of America'],['North America'],40000000,70100000,5.4,139,en
Chungking Express,1994,"['Drama', 'Comedy', 'Romance']",['Hong Kong'],['East Asia'],0,0,7.9,249,cn
The Star Maker,1995,"['Drama', 'Romance']",['Italy'],['Western Europe'],0,0,6.8,29,it
Flirting with Disaster,1996,"['Comedy', 'Romance']",['United States of America'],['North America'],7000000,14702438,6.3,66,en
The Neverending Story III: Escape from Fantasia,1994,['Fantasy'],"['Germany', 'United States of America']","['North America', 'Western Europe']",17000000,0,4.4,105,en
The Silences of the Palace,1994,['Drama'],"['Tunisia', 'France']","['Other', 'Western Europe']",0,0,4.3,3,ar
Angela,1995,"['Comedy', 'Drama']",['United States of America'],['North America'],0,0,5.6,9,en
Frankie Starlight,1995,"['Drama', 'Romance', 'War']","['United Kingdom', 'United States of America', 'France', 'Ireland']","['North America', 'Other', 'Western Europe']",0,0,5.4,4,it
Jade,1995,"['Action', 'Thriller', 'Mystery', 'Romance']",['United States of America'],['North America'],50000000,9851610,5.1,45,en
Nueba Yol,1995,"['Comedy', 'Drama', 'Romance']",['Dominican Republic'],['Other'],0,0,5.5,1,es
Sonic Outlaws,1995,"['Music', 'Documentary']",['United States of America'],['North America'],0,0,0,0,en
Down Periscope,1996,['Comedy'],['United States of America'],['North America'],0,0,5.6,110,en
From the Journals of Jean Seberg,1995,['Documentary'],['United States of America'],['North America'],0,0,6.5,2,en
Man of the Year,1995,['Comedy'],['United States of America'],['North America'],0,209935,3.8,2,en
The Neon Bible,1995,['Drama'],['United Kingdom'],['Western Europe'],0,0,7.2,5,en
Up Close & Personal,1996,"['Drama', 'Romance']",['United States of America'],['North America'],60000000,0,5.9,51,en
The Birdcage,1996,['Comedy'],['United States of America'],['North America'],31000000,185260553,6.7,303,en
Virgin Mary,1995,['Drama'],"['Croatia', 'Canada', 'United States of America']","['North America', 'Other']",0,0,7,2,en
The Brothers McMullen,1995,"['Comedy', 'Drama', 'Romance']",['United States of America'],['North America'],0,0,6.3,23,en
Bad Boys,1995,"['Action', 'Comedy', 'Crime', 'Thriller']",['United States of America'],['North America'],19000000,141407024,6.5,1729,en
The Amazing Panda Adventure,1995,"['Action', 'Adventure', 'Drama', 'Family']",['United States of America'],['North America'],0,0,5,31,en
The Basketball Diaries,1995,"['Drama', 'Crime']",['United States of America'],['North America'],0,0,7.2,472,en
An Awfully Big Adventure,1995,"['Romance', 'Drama', 'Comedy']",['United Kingdom'],['Western Europe'],4000000,851545,6,11,en
Amateur,1994,"['Crime', 'Comedy', 'Drama', 'Thriller']","['France', 'United Kingdom', 'United States of America']","['North America', 'Western Europe']",0,0,6.5,21,en
Apollo 13,1995,['Drama'],['United States of America'],['North America'],52000000,355237933,7.3,1637,en
Rob Roy,1995,['Adventure'],"['United Kingdom', 'United States of America']","['North America', 'Western Europe']",28000000,31596911,6.5,151,en
The Addiction,1995,"['Drama', 'Horror']",['United States of America'],['North America'],0,0,6.4,46,en
Batman Forever,1995,"['Action', 'Crime', 'Fantasy']","['United Kingdom', 'United States of America']","['North America', 'Western Europe']",100000000,336529144,5.2,1529,en
Blue in the Face,1995,['Comedy'],['United States of America'],['North America'],2000000,1275000,6.8,28,en
Canadian Bacon,1995,"['Action', 'Comedy']","['Canada', 'United States of America']",['North America'],11000000,178104,5.9,57,en
Casper,1995,"['Fantasy', 'Comedy', 'Family']",['United States of America'],['North America'],50000000,287928194,6,1045,en
Clockers,1995,"['Mystery', 'Crime', 'Drama']",['United States of America'],['North America'],25000000,13071518,6.8,69,en
Congo,1995,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",['United States of America'],['North America'],50000000,152022101,5,214,en
Crimson Tide,1995,"['Action', 'Thriller', 'Drama']",['United States of America'],['North America'],53000000,157387195,7,508,en
Crumb,1994,['Documentary'],['United States of America'],['North America'],0,3174695,7.6,71,en
Desperado,1995,"['Thriller', 'Action', 'Crime']",['United States of America'],['North America'],7000000,25405445,6.8,898,en
Devil in a Blue Dress,1995,"['Drama', 'Mystery', 'Thriller']",['United States of America'],['North America'],27000000,16140822,6.3,88,en
Die Hard: With a Vengeance,1995,"['Action', 'Thriller']",['United States of America'],['North America'],90000000,366101666,6.9,2094,en
The Doom Generation,1995,"['Action', 'Comedy', 'Crime', 'Drama']","['France', 'United States of America']","['North America', 'Western Europe']",0,0,5.6,57,en
First Knight,1995,"['Action', 'Adventure', 'Drama', 'Romance']",['United States of America'],['North America'],55000000,127600435,5.9,319,en
Free Willy 2 - The Adventure Home,1995,['Adventure'],"['France', 'United States of America']","['North America', 'Western Europe']",0,0,5.5,130,en
Hackers,1995,"['Action', 'Crime', 'Thriller', 'Drama']",['United States of America'],['North America'],20000000,7563728,6.2,406,en
Jeffrey,1995,"['Comedy', 'Drama', 'Romance']",['United States of America'],['North America'],0,0,6.5,19,en
Johnny Mnemonic,1995,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']","['Canada', 'United States of America']",['North America'],25000000,19075720,5.5,380,en
Judge Dredd,1995,['Science Fiction'],['United States of America'],['North America'],90000000,113493481,5.4,643,en
Jury Duty,1995,"['Comedy', 'Drama']",['United States of America'],['North America'],0,17014653,4,34,en
Kids,1995,"['Drama', 'Crime']",['United States of America'],['North America'],1500000,7412216,6.8,280,en
Living in Oblivion,1995,"['Drama', 'Comedy']",['United States of America'],['North America'],500000,1148752,7.2,64,en
Lord of Illusions,1995,"['Mystery', 'Horror', 'Thriller']",['United States of America'],['North America'],0,0,5.9,87,en
Love & Human Remains,1993,"['Comedy', 'Drama']",['Canada'],['North America'],0,0,7,7,en
Mad Love,1995,"['Drama', 'Family', 'Romance']",['United States of America'],['North America'],0,15453274,5.5,27,en
Mallrats,1995,"['Romance', 'Comedy']",['United States of America'],['North America'],6000000,2122561,6.8,400,en
Mighty Morphin Power Rangers: The Movie,1995,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']","['Japan', 'United States of America']","['North America', 'East Asia']",15000000,66000000,5.2,153,en
Moonlight and Valentino,1995,"['Comedy', 'Drama', 'Romance']","['United Kingdom', 'United States of America']","['North America', 'Western Europe']",0,0,5.6,10,en
Mute Witness,1995,"['Thriller', 'Foreign']","['Germany', 'Russia', 'United Kingdom', 'United States of America']","['North America', 'Eastern Europe', 'Western Europe']",2,1,6.4,36,en
Nadja,1994,"['Horror', 'Thriller']",['United States of America'],['North America'],0,0,5.9,12,en
The Net,1995,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",['United States of America'],['North America'],22000000,110627965,5.6,359,en
Nine Months,1995,['Comedy'],['United States of America'],['North America'],0,69660733,5.5,171,en
Party Girl,1995,['Comedy'],['United States of America'],['North America'],150000,472370,5.8,14,en
The Prophecy,1995,"['Fantasy', 'Horror', 'Thriller']",['United States of America'],['North America'],8,16,6.4,139,en
Reckless,1995,"['Fantasy', 'Comedy', 'Drama']",['United States of America'],['North America'],0,0,10,1,en
Safe,1995,['Drama'],"['United Kingdom', 'United States of America']","['North America', 'Western Europe']",0,0,7.2,62,en
The Scarlet Letter,1995,"['Drama', 'History', 'Romance']",['United States of America'],['North America'],50000000,10382407,5.5,111,en
Showgirls,1995,['Drama'],"['France', 'United States of America']","['North America', 'Western Europe']",45000000,20350754,4.9,261,en
Smoke,1995,"['Comedy', 'Drama']","['Germany', 'Japan', 'United States of America']","['North America', 'East Asia', 'Western Europe']",7000000,8349430,7.2,115,en
Something to Talk About,1995,['Comedy'],['United States of America'],['North America'],0,50892160,5.7,60,en
Species,1995,"['Science Fiction', 'Horror', 'Action']",['United States of America'],['North America'],35000000,113374103,5.5,457,en
The Stars Fell on Henrietta,1995,['Drama'],['United States of America'],['North America'],0,0,6.6,6,en
Strange Days,1995,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",['United States of America'],['North America'],42000000,7959291,6.8,334,en
The Tie That Binds,1995,['Thriller'],['United States of America'],['North America'],14000000,5780000,4.6,9,en
Three Wishes,1995,"['Drama', 'Fantasy']",['United States of America'],['North America'],0,7025496,6.1,18,en
Total Eclipse,1995,"['Drama', 'Romance']","['France', 'Belgium', 'United Kingdom']",['Western Europe'],0,339889,6.5,112,en
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,['Comedy'],['United States of America'],['North America'],0,47774193,6.3,117,en
Under Siege 2: Dark Territory,1995,"['Action', 'Thriller']",['United States of America'],['North America'],60000000,104324083,5.6,217,en
Unzipped,1995,['Documentary'],['United States of America'],['North America'],0,0,6,6,en
A Walk in the Clouds,1995,"['Drama', 'Romance']",['United States of America'],['North America'],20000000,50012507,6.5,168,en
Waterworld,1995,"['Adventure', 'Action']",['United States of America'],['North America'],175000000,264218220,5.9,1017,en
White Man's Burden,1995,['Drama'],"['France', 'United States of America']","['North America', 'Western Europe']",8000000,0,5.1,25,en
The Browning Version,1994,['Drama'],['United Kingdom'],['Western Europe'],0,0,6,11,en
Bushwhacked,1995,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']",['United States of America'],['North America'],0,0,4.9,29,en
Burnt by the Sun,1994,['Drama'],"['France', 'Russia']","['Eastern Europe', 'Western Europe']",2800000,2616503,6.7,35,ru
Before the Rain,1994,"['Drama', 'War']","['United Kingdom', 'Macedonia', 'France']","['Other', 'Western Europe']",0,763847,7.7,45,en
Before Sunrise,1995,"['Drama', 'Romance']","['Austria', 'Switzerland', 'United States of America']","['North America', 'Other', 'Western Europe']",2500000,5535405,7.7,984,en
Billy Madison,1995,['Comedy'],['United States of America'],['North America'],10000000,26488734,6.2,464,en
The Babysitter,1995,"['Drama', 'Thriller']",['United States of America'],['North America'],0,0,4.7,27,en
Boys on the Side,1995,"['Comedy', 'Drama']","['France', 'United States of America']","['North America', 'Western Europe']",21000000,23450000,6.3,48,en
The Cure,1995,"['Drama', 'Family']",['United States of America'],['North America'],0,0,7.2,58,en
Castle Freak,1995,"['Thriller', 'Drama', 'Horror', 'Mystery']",['United States of America'],['North America'],0,0,5.8,40,en
Circle of Friends,1995,"['Drama', 'Family', 'Romance']","['Ireland', 'United Kingdom']","['Other', 'Western Europe']",0,0,6.5,30,en
Clerks,1994,['Comedy'],['United States of America'],['North America'],27000,3151130,7.4,769,en
Don Juan DeMarco,1994,"['Romance', 'Drama', 'Comedy']",['United States of America'],['North America'],25000000,22200000,6.3,184,en
Disclosure,1994,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",['United States of America'],['North America'],55000000,214015089,5.9,217,en
Dream Man,1995,['Thriller'],"['United States of America', 'Canada']",['North America'],0,0,2.5,1,en
Drop Zone,1994,"['Action', 'Adventure', 'Thriller']",['United States of America'],['North America'],45000000,0,5.1,91,en
Destiny Turns on the Radio,1995,"['Crime', 'Comedy', 'Fantasy']",['United States of America'],['North America'],0,0,5.3,9,it
Death and the Maiden,1994,"['Drama', 'Thriller', 'Mystery']","['United States of America', 'France', 'United Kingdom']","['North America', 'Western Europe']",0,0,7.1,92,en
Dolores Claiborne,1995,"['Crime', 'Drama', 'Mystery']",['United States of America'],['North America'],0,0,7.1,183,en
Dumb and Dumber,1994,['Comedy'],['United States of America'],['North America'],16000000,247275374,6.5,1894,en
Eat Drink Man Woman,1994,"['Comedy', 'Drama', 'Romance']","['Taiwan', 'United States of America']","['North America', 'East Asia']",0,7294403,7.5,76,zh
Exotica,1994,"['Drama', 'Mystery']",['Canada'],['North America'],0,0,6.5,64,en
Exit to Eden,1994,"['Thriller', 'Comedy', 'Crime', 'Romance']",['United States of America'],['North America'],0,6841570,4.3,28,en
Ed Wood,1994,"['Comedy', 'Drama', 'History']",['United States of America'],['North America'],18000000,5887457,7.3,639,en
French Kiss,1995,"['Comedy', 'Romance']","['United Kingdom', 'United States of America']","['North America', 'Western Europe']",0,0,6.2,179,en
Forget Paris,1995,"['Comedy', 'Drama', 'Romance']",['United States of America'],['North America'],0,0,6.1,38,en
Far from Home: The Adventures of Yellow Dog,1995,"['Action', 'Adventure', 'Drama', 'Family']",['United States of America'],['North America'],0,0,5.6,27,en
A Goofy Movie,1995,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",['United States of America'],['North America'],0,35348597,6.7,404,en
Hideaway,1995,"['Drama', 'Thriller']",['United States of America'],['North America'],15000000,12201255,5,24,en
Fluke,1995,"['Drama', 'Family', 'Fantasy']",['United States of America'],['North America'],0,0,6.6,48,en
Farinelli,1994,"['History', 'Drama']","['Belgium', 'France', 'Italy']",['Western Europe'],0,0,5.9,20,fr
Gordy,1995,"['Drama', 'Family', 'Fantasy']",['United States of America'],['North America'],0,3992809,3,4,en
The Glass Shield,1994,"['Drama', 'Action', 'Thriller', 'Crime']","['United States of America', 'France']","['North America', 'Western Europe']",0,0,5.4,9,en
Hoop Dreams,1994,['Documentary'],['United States of America'],['North America'],700000,7830611,7.7,91,en
Heavenly Creatures,1994,"['Drama', 'Fantasy']",['New Zealand'],['Oceania'],5000000,3049135,6.9,299,en
Immortal Beloved,1994,"['Drama', 'Music', 'Romance']",['United States of America'],['North America'],120,0,6.9,90,en
Heavyweights,1995,"['Comedy', 'Family', 'Drama']",['United States of America'],['North America'],0,17689177,6,97,en
The Hunted,1995,"['Action', 'Thriller']",['United States of America'],['North America'],0,0,6,25,en
I.Q.,1994,"['Comedy', 'Drama', 'Romance']",['United States of America'],['North America'],25000000,0,5.9,112,en
Interview with the Vampire,1994,"['Horror', 'Romance']",['United States of America'],['North America'],60000000,223664608,7.2,1558,en
Jefferson in Paris,1995,"['Drama', 'Romance']",['United States of America'],['North America'],14000000,2474000,5.2,10,en
The Jerky Boys,1995,"['Comedy', 'Crime']",['United States of America'],['North America'],0,0,4.8,10,en
Junior,1994,"['Comedy', 'Family', 'Romance']",['United States of America'],['North America'],60000000,37000000,4.7,381,en
Just Cause,1995,"['Action', 'Drama', 'Mystery', 'Thriller']",['United States of America'],['North America'],0,0,6,124,en
Kiss of Death,1995,"['Action', 'Crime', 'Drama', 'Thriller']",['United States of America'],['North America'],40000000,0,5.7,83,en
Little Women,1994,"['Drama', 'Romance']",['United States of America'],['North America'],18000000,0,7,222,en
A Little Princess,1995,"['Drama', 'Family', 'Fantasy']",['United States of America'],['North America'],17000000,0,7.4,207,en
Ladybird Ladybird,1994,['Drama'],['United Kingdom'],['Western Europe'],0,0,7.4,14,en
L'Enfer,1994,"['Crime', 'Drama']",['France'],['Western Europe'],10000000,0,6.6,22,fr
Like Water for Chocolate,1992,"['Drama', 'Romance']",['Mexico'],['Latin America'],2000000,21665468,6.6,70,es
